epoch,accuracy,loss,val_accuracy,val_loss
0,0.9338900446891785,0.18584690988063812,0.9524484276771545,0.15533843636512756
1,0.9749900698661804,0.0726994127035141,0.9672940373420715,0.11002565920352936
2,0.9828100800514221,0.05178799480199814,0.9568336009979248,0.1399841606616974
3,0.9877500534057617,0.03741456940770149,0.9647817015647888,0.12770479917526245
4,0.9904800653457642,0.0296796727925539,0.9704458713531494,0.1275627315044403
5,0.9917300939559937,0.02656674012541771,0.966745913028717,0.14375337958335876
6,0.9929700493812561,0.022181637585163116,0.9713594317436218,0.12724459171295166
7,0.9941800832748413,0.01993352733552456,0.9689841866493225,0.13982871174812317
8,0.9947600364685059,0.018002348020672798,0.9758359789848328,0.13112062215805054
9,0.9951300621032715,0.016472946852445602,0.9778915047645569,0.1324317902326584
10,0.9955600500106812,0.015677131712436676,0.9793532490730286,0.13489539921283722
11,0.9962100386619568,0.012812971137464046,0.9743285775184631,0.14473849534988403
12,0.9963600635528564,0.012720715254545212,0.9754248857498169,0.16882774233818054
13,0.9967100620269775,0.011920390650629997,0.9756532907485962,0.15341997146606445
14,0.9963600635528564,0.012764737010002136,0.9795816540718079,0.13388502597808838
15,0.9971100687980652,0.010120308957993984,0.9748310446739197,0.1709495633840561
16,0.9974100589752197,0.009157337248325348,0.97889643907547,0.15617048740386963
17,0.997450053691864,0.010137239471077919,0.9711310863494873,0.1825699806213379
18,0.9974400401115417,0.009331898763775826,0.9766581654548645,0.17841456830501556
19,0.9976600408554077,0.008618040941655636,0.9801297783851624,0.1532977819442749
20,0.9977800846099854,0.008129383437335491,0.9845149517059326,0.13726502656936646
21,0.9974900484085083,0.008591714315116405,0.9748310446739197,0.17967361211776733
22,0.997890055179596,0.008129047229886055,0.977480411529541,0.16035465896129608
23,0.9974600672721863,0.009068125858902931,0.9821853041648865,0.14925184845924377
24,0.9981700778007507,0.007129124831408262,0.9791248440742493,0.15762467682361603
25,0.9979800581932068,0.0072460295632481575,0.9789421558380127,0.16682590544223785
26,0.998400092124939,0.006158001720905304,0.9755162000656128,0.16094240546226501
27,0.9982700943946838,0.0061874669045209885,0.9811347126960754,0.1642967313528061
28,0.9980600476264954,0.007426697760820389,0.9806322455406189,0.18076002597808838
29,0.9984500408172607,0.006072106305509806,0.9821853041648865,0.1773630827665329
